AÑO;MES;DIA;HORA UTC;INICIO INTERVALO;FIN INTERVALO;PUNTO DE MEDIDA;COORDINADO;SERIE MEDIDOR;SUBESTACION;FECHA DE ULTIMA LECTURA;PRINCIPAL/RESPALDO;ID Bitacora/F-Inicio_F-fin;Retiro_Energia_Activa (kWhD);Retiro_Energia_Reactiva (kVarhD);Inyección_Energia_Activa (kWhR);Inyección_Energia_Reactiva (kVarhR)
﻿2023;8;2;5;1;2;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;22,082994399999997;5,3283656;0,0;0,0
﻿2023;8;2;6;2;3;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;21,8837776;4,9203214;0,0;0,0
﻿2023;8;2;7;3;4;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;22,4489383;4,6822545;0,0;0,0
﻿2023;8;2;8;4;5;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;21,7162236;4,6584707000000005;0,0;0,0
﻿2023;8;2;9;5;6;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;22,4976712;4,1201927000000005;0,0;0,0
﻿2023;8;2;10;6;7;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;23,333892400000003;3,491548;0,0;0,0
﻿2023;8;2;11;7;8;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;27,5760011;4,3917498;0,0;0,0
﻿2023;8;2;12;8;9;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;30,880802100000004;4,5637137999999995;0,0;0,0
﻿2023;8;2;13;9;10;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,413353;4,7690199;0,0;0,0
﻿2023;8;2;14;10;11;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,1625881;4,7769577000000005;0,0;0,0
﻿2023;8;2;15;11;12;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;29,7814416;4,9801866;0,0;0,0
﻿2023;8;2;16;12;13;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,826889;6,092252;0,0;0,0
﻿2023;8;2;17;13;14;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;35,601223000000005;5,3043941;0,0;0,0
﻿2023;8;2;18;14;15;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,0878496;6,3174561;0,0;0,0
﻿2023;8;2;19;15;16;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,0496049;6,4074483;0,0;0,0
﻿2023;8;2;20;16;17;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;30,8853698;6,3874187000000004;0,0;0,0
﻿2023;8;2;21;17;18;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;27,8734665;5,4794358;0,0;0,0
﻿2023;8;2;22;18;19;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,68957;5,0928702;0,0;0,0
﻿2023;8;2;23;19;20;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;34,9460373;4,9389702;0,0;0,0
﻿2023;8;2;0;20;21;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,308188;4,481196799999999;0,0;0,0
﻿2023;8;2;1;21;22;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,718791600000003;4,6611359;0,0;0,0
﻿2023;8;2;2;22;23;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;31,5293503;4,2781663000000005;0,0;0,0
﻿2023;8;2;3;23;24;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;29,9047388;4,0460598999999995;0,0;0,0
﻿2023;8;3;4;0;1;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;25,132457300000002;4,901376;0,0;0,0
﻿2023;8;3;5;1;2;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;24,410335599999996;4,9423941000000005;0,0;0,0
﻿2023;8;3;6;2;3;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;23,0439559;5,6009043;0,0;0,0
﻿2023;8;3;7;3;4;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;22,4673343;4,7360314;0,0;0,0
﻿2023;8;3;8;4;5;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;24,1538186;4,4651378;0,0;0,0
﻿2023;8;3;9;5;6;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,029158600000002;4,6642291;0,0;0,0
﻿2023;8;3;10;6;7;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;25,507763399999998;4,0820992;0,0;0,0
﻿2023;8;3;11;7;8;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,4662623;4,4377072;0,0;0,0
