Fecha/Hora;Econsumida
08-08-2023 18:00;32,47
08-08-2023 19:00;34,18
08-08-2023 20:00;36,85
08-08-2023 21:00;35,25
08-08-2023 22:00;32,62
08-08-2023 23:00;33,5
09-08-2023 0:00;26,11
09-08-2023 1:00;23,21
09-08-2023 2:00;21,93
09-08-2023 3:00;21,23
09-08-2023 4:00;21,84
09-08-2023 5:00;21,79
09-08-2023 6:00;24,33
09-08-2023 7:00;24,52
09-08-2023 8:00;30,82
09-08-2023 9:00;30,46
09-08-2023 10:00;30,65
09-08-2023 11:00;30,29
09-08-2023 12:00;34,25
09-08-2023 13:00;33,2
09-08-2023 14:00;31,39
09-08-2023 15:00;30,33
09-08-2023 16:00;30,43
09-08-2023 17:00;30,54
09-08-2023 18:00;33,49
09-08-2023 19:00;37,08
09-08-2023 20:00;35,23
09-08-2023 21:00;35,52
09-08-2023 22:00;34,65
09-08-2023 23:00;33,53
10-08-2023 0:00;28,15
10-08-2023 1:00;26,86
10-08-2023 2:00;24,99
10-08-2023 3:00;24,41
10-08-2023 4:00;23,84
10-08-2023 5:00;24,47
10-08-2023 6:00;25,39
10-08-2023 7:00;25,18
10-08-2023 8:00;29,57
10-08-2023 9:00;30,79
10-08-2023 10:00;30,86
10-08-2023 11:00;32,72
10-08-2023 12:00;33,07
10-08-2023 13:00;33,01
10-08-2023 14:00;31,8
10-08-2023 15:00;33,04
10-08-2023 16:00;30,67
10-08-2023 17:00;28,19
10-08-2023 18:00;34,1
10-08-2023 19:00;36,64
10-08-2023 20:00;37,7
10-08-2023 21:00;36,16
10-08-2023 22:00;25,5
10-08-2023 23:00;0
11-08-2023 0:00;0
11-08-2023 1:00;0
11-08-2023 2:00;0
11-08-2023 3:00;0
11-08-2023 4:00;0
11-08-2023 5:00;0
11-08-2023 6:00;0
11-08-2023 7:00;0
11-08-2023 8:00;0
11-08-2023 9:00;0
11-08-2023 10:00;0
11-08-2023 11:00;35,36
11-08-2023 12:00;38,43
11-08-2023 13:00;37,1
11-08-2023 14:00;34,1
11-08-2023 15:00;33,55
11-08-2023 16:00;33,53
11-08-2023 17:00;32,93
11-08-2023 18:00;33,94
11-08-2023 19:00;37,24
11-08-2023 20:00;34,68
11-08-2023 21:00;36,62
11-08-2023 22:00;36,87
11-08-2023 23:00;35
12-08-2023 0:00;30,26
12-08-2023 1:00;26,61
12-08-2023 2:00;25,19
12-08-2023 3:00;24,53
12-08-2023 4:00;25,14
12-08-2023 5:00;23,35
12-08-2023 6:00;22,74
12-08-2023 7:00;24,01
12-08-2023 8:00;27,03
12-08-2023 9:00;27,36
12-08-2023 10:00;25,37
12-08-2023 11:00;25,58
12-08-2023 12:00;27,34
12-08-2023 13:00;26,67
12-08-2023 14:00;26,19
12-08-2023 15:00;25,73
12-08-2023 16:00;26,74
12-08-2023 17:00;28,06
12-08-2023 18:00;29,89
12-08-2023 19:00;34,35
12-08-2023 20:00;32,95
12-08-2023 21:00;33,48
12-08-2023 22:00;31,88
12-08-2023 23:00;30,55
13-08-2023 0:00;25,71
13-08-2023 1:00;23,71
13-08-2023 2:00;22,02
13-08-2023 3:00;22,63
13-08-2023 4:00;23,52
13-08-2023 5:00;22,89
13-08-2023 6:00;23
13-08-2023 7:00;22,57
13-08-2023 8:00;24,84
13-08-2023 9:00;26,17
13-08-2023 10:00;26,74
13-08-2023 11:00;27,22
13-08-2023 12:00;26,11
13-08-2023 13:00;26,78
13-08-2023 14:00;26,13
13-08-2023 15:00;26,81
13-08-2023 16:00;26,37
